Book_name,List_of_author(s),Publisher,Published date,Category, ISBN,Language, Status
Questions That Work: How to Ask Questions That Will Help You Succeed in Any Business Situation, Andrew Finlayson , AMACOM , July 10 2005 ,General, 978-0814473290 , En, available
Courtney's War, Wilbur Smith,Bonnier,September 26 2018, Fiction,9781785766480,,available
